NameString,RefString
Microula sikkimensis (C.B.Cl.) Hemsl.,Hemsl. In: Hook.'s Icon. Pl. 26: t. 2562. (1898).
"Cosmopirnodus pulcherrimus Balogh, 1970",
"Rhinaria cristata Kirby, 1819",
Proconia atra contraria,"Walker, F. Supplement. List of the specimens of homopterous insects in the collection of the British Museum. London: Order of Trustees. 307 p. (1858)."
Geopyxella,
Specklinia icterina Bogarín,Bogarín. In: Lankesteriana 13: 201. (2014).
Mycena vitilis,In: sensu Ricken (1915); fide Checklist of Basidiomycota of Great Britain and Ireland (2005).
"Tubulicrinis globisporus K.H.Larss. & Hjortstam, 1978",K.H. Larss. & Hjortstam. In: Mycotaxon 7(1):123. (1978).
"Derocalymma costata J.A.G.Rehn, 1933","Rehn, J. A. G. African and Malagasy Blattidae (Orthoptera), -Part II. Proceedings of the Academy of Natural Sciences of Philadelphia 84:405-511. (1933[1932])."
"Hylaeogena confusa Cobos, 1958",Cobos A. Tercera nota sobre Bupréstidos (Ins. Coleoptera) neotropicales descripciónes y rectificaciónes diversas. Acta Zoologica Lilloana 15:83-102. (1958).
"Glenea peregoi sumatrensis Breuning, 1976",
"Opisthotricha paraholophila Wang & Nie, 1935",
Ocotea viburnoides (Meisn.) Mez,Mez. In: Jahrb. Bot. Gart. Berl. 5: 322. (1889).
"Mandalotus magnicollis Lea, 1917",
"Psiloptera bennigseni Kerremans, 1899",
"Astenus (Astenognathus) sutteri Scheerpeltz, 1957","Scheerpeltz, O. Staphylinidae (Col.) von Sumba und Flores (4. Beitrag zur Kenntnis der Staphyliniden der orientalischen Region). In: Wissenschaftliche Ergebnisse der Sumba-Expedition des Museum für Völkerkunde und des Naturhistorischen Museums in Basel, 1949. Verhandlungen der Naturforschenden Gesellschaft in Basel, 68: 217-357. (1957)."
Anchietea exaltata Eichl.,"Eichl. In: Mart., Fl. Bras. 13: I. 355. (1872)."
Aloysia polygalifolia Cham.,Cham. In: Linnaea 7: 236. (1832).
"Dorcus kyawi Nagai & Maeda, 2009",Nagai S. & Maeda T. Four new species of stag-beetles from Myanmar. Gekkan-Mushi 462:46-49. (2009).
"Genolopa longovata Hopkins, 1941",
Lens phaseoloides L.,
"Paradentalina caribbeana Hofker, 1976",
"Helvetiosoma cornigerum Bigler, 1912",
Hagapteryx,
"Phellinus conchatus f. ulmi Bondartsev, 1955","Bondartsev, A.S. In: Botanicheskie Materialy 10:194. (1955)."
Borreria ocymoides f. bisepala (Bremek.) Steyerm.,Steyerm. In: Acta Bot. Venez. 6: 194. (1971 publ. 1972).
"Glyptoderus koltzei Grundmann, 1956",
